source,translated,language
"translate to Hindi: And (remember) when your Lord said to the angels: ""Verily, I am going to place (mankind) generations after generations on earth."" They said: ""Will You place therein those who will make mischief therein and shed blood, - while we glorify You with praises and thanks (Exalted be You above all that they associate with You as partners) and sanctify You."" He (Allah) said: ""I know that which you do not know.""",और (ऐ रसूल) उस वक्त क़ो याद करो जब तुम्हारे परवरदिगार ने फ़रिश्तों से कहा कि मैं (अपना) एक नाएब ज़मीन में बनानेवाला हूँ (फरिश्ते ताज्जुब से) कहने लगे क्या तू ज़मीन ऐसे शख्स को पैदा करेगा जो ज़मीन में फ़साद और खूँरेज़ियाँ करता फिरे हालाँकि (अगर) ख़लीफा बनाना है (तो हमारा ज्यादा हक़ है) क्योंकि हम तेरी तारीफ व तसबीह करते हैं और तेरी पाकीज़गी साबित करते हैं तब खुदा ने फरमाया इसमें तो शक ही नहीं कि जो मैं जानता हूँ तुम नहीं जानते,Hindi
"translate to Hindi: The completion is ambiguous, more than one match is available.","कम्पलीशन अस्पस्ट है, एक से अधिक जोड़ उपलब्ध हैं.",Hindi
translate to Hindi: View the main toolbar,मुख्य उपकरण-पट्टी दिखाएँ,Hindi
translate to Hindi: Interval in minutes:,अंतराल मिनटों में@ title: group,Hindi
"translate to Hindi: He gave you whatsoever you asked. If you try to count the favours of God you will not be able to calculate. Man is most unjust indeed, full of ingratitude.","और हर उस चीज़ में से तुम्हें दिया जो तुमने उससे माँगा यदि तुम अल्लाह की नेमतों की गणना नहीं कर सकते। वास्तव में मनुष्य ही बड़ा ही अन्यायी, कृतघ्न है",Hindi
"translate to Hindi: Indeed Allah sustains the heavens and the earth lest they should fall apart, and if they were to fall apart, there is none who can sustain them except Him. Indeed He is all-forbearing, all-forgiving.","अल्लाह ही आकाशों और धरती को थामे हुए है कि वे टल न जाएँ और यदि वे टल जाएँ तो उसके पश्चात कोई भी नहीं जो उन्हें थाम सके। निस्संदेह, वह बहुत सहनशील, क्षमा करनेवाला है",Hindi
"translate to Hindi: He it is Who has stretched out the earth and has placed in it firm mountains and has caused the rivers to flow. He has made every fruit in pairs, two and two, and He it is Who causes the night to cover the day. Surely there are signs in these for those who reflect.",(अपनी) आयतें तफसीलदार बयान करता है और वह वही है जिसने ज़मीन को बिछाया और उसमें (बड़े बड़े) अटल पहाड़ और दरिया बनाए और उसने हर तरह के मेवों की दो दो किस्में पैदा की (जैसे खट्टे मीठे) वही रात (के परदे) से दिन को ढाक देता है इसमें शक़ नहीं कि जो लोग और ग़ौर व फिक्र करते हैं उनके लिए इसमें (कुदरत खुदा की) बहुतेरी निशानियाँ हैं,Hindi
"translate to Hindi: OKAY OKAY, BYE.","ठीक है ठीक है, अलविदा.",Hindi
"translate to Hindi: You have an excellent model in Abraham and those who were with him, when he said to his people: ""We are through with you, and those you worship other than God. We reject you. Enmity and hate have come between you and us for ever, unless you believe in God the One,"" -- except for what he said to his father: ""I shall ask forgiveness for you, but I have no power to prevail with God for you."" ""O Lord, we place our trust in You, and turn to You in penitence, and to You is our returning.",(मुसलमानों) तुम्हारे वास्ते तो इबराहीम और उनके साथियों (के क़ौल व फेल का अच्छा नमूना मौजूद है) कि जब उन्होने अपनी क़ौम से कहा कि हम तुमसे और उन (बुतों) से जिन्हें तुम ख़ुदा के सिवा पूजते हो बेज़ार हैं हम तो तुम्हारे (दीन के) मुनकिर हैं और जब तक तुम यकता ख़ुदा पर ईमान न लाओ हमारे तुम्हारे दरमियान खुल्लम खुल्ला अदावत व दुशमनी क़ायम हो गयी मगर (हाँ) इबराहीम ने अपने (मुँह बोले) बाप से ये (अलबत्ता) कहा कि मैं आपके लिए मग़फ़िरत की दुआ ज़रूर करूँगा और ख़ुदा के सामने तो मैं आपके वास्ते कुछ एख्तेयार नहीं रखता ऐ हमारे पालने वाले (ख़ुदा) हमने तुझी पर भरोसा कर लिया है और तेरी ही तरफ हम रूजू करते हैं,Hindi
translate to Hindi: So He penalized them with hypocrisy in their hearts until the Day they will meet Him - because they failed Allah in what they promised Him and because they [habitually] used to lie.,फिर उनसे उनके ख़ामयाजे (बदले) में अपनी मुलाक़ात के दिन (क़यामत) तक उनके दिल में (गोया खुद) निफाक डाल दिया इस वजह से उन लोगों ने जो ख़ुदा से वायदा किया था उसके ख़िलाफ किया और इस वजह से कि झूठ बोला करते थे,Hindi
translate to Hindi: Use Latin constellation names,लातिन नक्षत्र नाम इस्तेमाल करें,Hindi
"translate to Hindi: And (as for) those who strive to oppose Our communications, they shall be the inmates of the flaming fire.",और जिन लोगों ने हमारी आयतों (के झुठलाने में हमारे) आजिज़ करने के वास्ते कोशिश की यही लोग तो जहन्नुमी हैं,Hindi
"translate to Hindi: How many a town defied the command of its Lord and His apostles, then We called it to a severe account and punished it with a dire punishment.","कितनी ही बस्तियाँ हैं जिन्होंने रब और उसके रसूलों के आदेश के मुक़ाबले में सरकशी की, तो हमने उनकी सख़्त पकड़ की और उन्हें बुरी यातना दी",Hindi
"translate to Hindi: They said, ""We have believed in the Lord of the worlds,","वे बोल उठे, ""हम सारे संसार के रब पर ईमान ले आए -",Hindi
translate to Hindi: Bata,"बाटाCity name (optional, probably does not need a translation)",Hindi
translate to Hindi: Idiot.,बेवकूफ.,Hindi
translate to Hindi: You are going to love my facility.,तुम मेरे परामर्श प्यार कर रहे हैं ...,Hindi
translate to Hindi: He's not the one who got the award.,वह एक है जो पुरस्कार मिला नहीं है।,Hindi
"translate to Hindi: ""(I worship) only Him Who made me, and He will certainly guide me.""","सिवाय उसके जिसने मुझे पैदा किया। अतः निश्चय ही वह मुझे मार्ग दिखाएगा।""",Hindi
translate to Hindi: Fit _Width,चौड़ाई अनुरूप करें (_W),Hindi
"translate to Hindi: Run, Mr. President!",मि. प्रेज़ीडेंट !,Hindi
translate to Hindi: E,Southeast,Hindi
translate to Hindi: _Encrypt the file list too,फ़ाइल सूची को भी गोपित करें (_E),Hindi
translate to Hindi: Cops aren't gonna help you.,वे अंदर अपने गधे को ले जा रहे हैं.,Hindi
translate to Hindi: They're the double glazing salesmen of the entertainment business.,वे मनोरंजन जगत के चमकदार विक्रेता हैं।,Hindi
translate to Hindi: I'm looking for the owner.,- मैं मालिक से मिलना चाहूँगा।,Hindi
translate to Hindi: That's how they trick the boars.,यह है कि कैसे वे सुअरों चाल.,Hindi
"translate to Hindi: A folder named ""{0}"" already exists. Please use a different name.","""{0}"" नाम से फ़ोल्डर पहले से उपस्थित है. कृपया दूसरे नाम का उपयोग करें.",Hindi
translate to Hindi: Could not block contact,संपर्क ब्लॉक नहीं किया जा सका,Hindi
"translate to Hindi: And spend in the way of Allah and cast not yourselves to perdition with your own hands, and do good (to others); surely Allah loves the doers of good.","और अल्लाह के मार्ग में ख़र्च करो और अपने ही हाथों से अपने-आपकोतबाही में न डालो, और अच्छे से अच्छा तरीक़ा अपनाओ। निस्संदेह अल्लाह अच्छे से अच्छा काम करनेवालों को पसन्द करता है",Hindi
translate to Hindi: When the world on High is unveiled;,"और जब आकाश की खाल उतार दी जाएगी,",Hindi
"translate to Hindi: Say, ""Yes, and you will be [rendered] contemptible.""","कह दो, ""हाँ! और तुम अपमानित भी होंगे।""",Hindi
"translate to Hindi: Crew 17, please report to the fifth floor.","क्रू 17, पांचवीं मंजिल को रिपोर्ट करें.",Hindi
translate to Hindi: Highlighting,हाइलाइटन,Hindi
"translate to Hindi: - He put a dog in my pants, Jane.","- वह जेन, मेरे पैंट में एक कुत्ते को डाल दिया.",Hindi
"translate to Hindi: Is he on whom the word of doom is fulfilled (to be helped), and canst thou (O Muhammad) rescue him who is in the Fire?",तो क्या वह व्यक्ति जिसपर यातना की बात सत्यापित हो चुकी है (यातना से बच सकता है)? तो क्या तुम छुड़ा लोगे उसको जो आग में है,Hindi
"translate to Hindi: They declare, ""We will never believe in you until you cause a spring to flow for us from the earth;","और उन्होंने कहा, ""हम तुम्हारी बात नहीं मानेंगे, जब तक कि तुम हमारे लिए धरती से एक स्रोत प्रवाहित न कर दो,",Hindi
translate to Hindi: Print this journal entry,इस दैनिकी प्रविष्टि को छापें,Hindi
"translate to Hindi: Or in the thickness of your tunic, Philotas.","या अपने अंगरखा, Philotas की मोटाई में.",Hindi
translate to Hindi: Araucanía,आराउकानियाchile. kgm,Hindi
translate to Hindi: Not when it means so much to me.,नहींहैकि यह मेरेलिए बहुत मतलब है जब,Hindi
translate to Hindi: Don't yell.,चिल्लाओ मत.,Hindi
translate to Hindi: Color Matching,रंग मैचिंग,Hindi
translate to Hindi: every month,हर माह,Hindi
translate to Hindi: And he shall go back to his people joyful.,और (फिर) वह अपने (मोमिनीन के) क़बीले की तरफ ख़ुश ख़ुश पलटेगा,Hindi
"translate to Hindi: Tell them if they overstarch my shirts again, they'll hear about it from me?","उन्हें बता दो अगर मेरे शर्ट में फिर ज्यादा मांड लगाया, तो मुझ से सुनना पड़ेगा?",Hindi
translate to Hindi: But then they reversed their minds: 'You know they do not speak',फिर उन लोगों के सर इसी गुमराही में झुका दिए गए (और तो कुछ बन न पड़ा मगर ये बोले) तुमको तो अच्छी तरह मालूम है कि ये बुत बोला नहीं करते,Hindi
"translate to Hindi: They said, ""We will attempt to dissuade his father from [keeping] him, and indeed, we will do [it].""","वे बोले, ""हम उसके लिए उसके बाप को राज़ी करने की कोशिश करेंगे और हम यह काम अवश्य करेंगे।""",Hindi
translate to Hindi: What is the matter with you? How ill do you judge!,"तुम्हें क्या हो गया है, कैसा फ़ैसला करते हो?",Hindi
translate to Hindi: & Bookmark This File,इस फ़ाइल को पसंदीदा में रखें (B),Hindi
translate to Hindi: Score: 0,अंकः 0,Hindi
translate to Hindi: TeX Documentation,टेटेक्स दस्तावेज़ीकरण,Hindi
translate to Hindi: How do I look?,कैसा लग रहा हूं?,Hindi
translate to Hindi: Normalize volume levels,आवाज़ स्तर सामान्य करें,Hindi
translate to Hindi: You're here!,तुम आ गए!,Hindi
translate to Hindi: Soon shall this legion be routed and shall turn their backs and flee.,अनक़रीब ही ये जमाअत शिकस्त खाएगी और ये लोग पीठ फेर कर भाग जाएँगे,Hindi
translate to Hindi: This is well within the power of God.,औ ये ख़ुदा पर कुछ भी दुशवार नहीं,Hindi
translate to Hindi: KDE network manager,केडीई नेटवर्क प्रबंधकGenericName,Hindi
translate to Hindi: Output,आउटपुटः,Hindi
translate to Hindi: Nawara has her own distinguished style as she writes in non-traditional Arabic slang.,"नवारा के पास अपनी अलग, विशिष्ट शैली है जिसमें वो गैर-पारंपरिक अरबी अपभाषा का भरपूर प्रयोग करती रही हैं.",Hindi
"translate to Hindi: Tell My worshippers, those who believe, who establish the prayer, and spend of what We have given them in private and in public, before the coming of that Day in which there is neither bargaining, nor the taking of friends,",(ऐ रसूल) मेरे वह बन्दे जो ईमान ला चुके उन से कह दो कि पाबन्दी से नमाज़ पढ़ा करें और जो कुछ हमने उन्हें रोज़ी दी है उसमें से (ख़ुदा की राह में) छिपाकर या दिखा कर ख़र्च किया करे उस दिन (क़यामत) के आने से पहल जिसमें न तो (ख़रीदो) फरोख्त ही (काम आएगी) न दोस्ती मोहब्बत काम (आएगी),Hindi
translate to Hindi: Why didn't you go to the office?,तुम दफ़्तर क्यों नहीं गए?,Hindi
translate to Hindi: Boolean OR,बूलियन OR,Hindi
translate to Hindi: nor do you worship what I worship.,और जिस (ख़ुदा) की मैं इबादत करता हूँ उसकी तुम इबादत नहीं करते,Hindi
translate to Hindi: Isn't it beautiful?,- सुंदर है न?,Hindi
"translate to Hindi: Allah made a covenant of old with the Children of Israel and We raised among them twelve chieftains, and Allah said: Lo! I am with you. If ye establish worship and pay the poor-due, and believe in My messengers and support them, and lend unto Allah a kindly loan, surely I shall remit your sins, and surely I shall bring you into Gardens underneath which rivers flow. Whoso among you disbelieveth after this will go astray from a plain road.","अल्लाह ने इसराईल की सन्तान से वचन लिया था और हमने उनमें से बारह सरदार नियुक्त किए थे। और अल्लाह ने कहा, ""मैं तुम्हारे साथ हूँ, यदि तुमने नमाज़ क़ायम रखी, ज़कात देते रहे, मेरे रसूलों पर ईमान लाए और उनकी सहायता की और अल्लाह को अच्छा ऋण दिया तो मैं अवश्य तुम्हारी बुराइयाँ तुमसे दूर कर दूँगा और तुम्हें निश्चय ही ऐसे बाग़ों में दाख़िल करूँगा, जिनके नीचे नहरें बह रही होगी। फिर इसके पश्चात तुमनें से जिनसे इनकार किया, तो वास्तव में वह ठीक और सही रास्ते से भटक गया।""",Hindi
"translate to Hindi: This is because Allah is the Truth, and that which they call upon besides Him is the falsehood, and that Allah is the High, the Great.",ये (सब बातें) इस सबब से हैं कि ख़ुदा ही यक़ीनी बरहक़ (माबूद) है और उस के सिवा जिसको लोग पुकारते हैं यक़ीनी बिल्कुल बातिल और इसमें शक नहीं कि ख़ुदा ही आलीशान और बड़ा रुतबे वाला है,Hindi
translate to Hindi: Track Number,ट्रैक संख्या,Hindi
"translate to Hindi: For man are angels of alternating duties, in front and behind him, who guard him by Allah’s command; indeed Allah does not change His favour upon any nation until they change their own condition; and when Allah wills misfortune for a nation, it cannot be repelled; and they do not have any supporter besides Him.","उसके रक्षक (पहरेदार) उसके अपने आगे और पीछे लगे होते हैं जो अल्लाह के आदेश से उसकी रक्षा करते है। किसी क़ौम के लोगों को जो कुछ प्राप्त होता है अल्लाह उसे बदलता नहीं, जब तक कि वे स्वयं अपने आपको न बदल डालें। और जब अल्लाह किसी क़ौम का अनिष्ट चाहता है तो फिर वह उससे टल नहीं सकता, और उससे हटकर उनका कोई समर्थक और संरक्षक भी नहीं",Hindi
"translate to Hindi: This is of the tidings of the unseen, which We reveal unto thee; nor wast thou with them when they resolved on their affair while they were plotting.","ये परोक्ष की ख़बरे हैं जिनकी हम तुम्हारी ओर प्रकाशना कर रहे है। तुम तो उनके पास नहीं थे, जब उन्होंने अपने मामले को पक्का करके षड्यंत्र किया था",Hindi
"translate to Hindi: The polytheists say, ‘Had Allah wished, we would not have worshiped anything besides Him—neither we, nor our fathers—nor we would have forbidden anything without His sanction.’ Those who were before them had acted likewise. Is the apostles’ duty anything but to communicate in clear terms?",और मुशरेकीन कहते हैं कि अगर ख़ुदा चाहता तो न हम ही उसके सिवा किसी और चीज़ की इबादत करते और न हमारे बाप दादा और न हम बग़ैर उस (की मर्ज़ी) के किसी चीज़ को हराम कर बैठते जो लोग इनसे पहले हो गुज़रे हैं वह भी ऐसे (हीला हवाले की) बातें कर चुके हैं तो (कहा करें) पैग़म्बरों पर तो उसके सिवा कि एहकाम को साफ साफ पहुँचा दे और कुछ भी नहीं,Hindi
translate to Hindi: The user declined to authenticate,उपयोक्ता प्रमाणीकरण से मना किया,Hindi
"translate to Hindi: Say, “Flight will not benefit you, if you flee from death or killing, even then you will be given only brief enjoyment.”",(ऐ रसूल उनसे) कह दो कि अगर तुम मौत का क़त्ल (के ख़ौफ) से भागे भी तो (यह) भागना तुम्हें हरगिज़ कुछ भी मुफ़ीद न होगा और अगर तुम भागकर बच भी गए तो बस यही न की दुनिया में चन्द रोज़ा और चैनकर लो,Hindi
translate to Hindi: Failed to execute autogen: %s,असफल को कार्यान्वित करें से.,Hindi
translate to Hindi: Remove this activity,% 1 को मिटाएँ,Hindi
translate to Hindi: Data %s in %s,%s आँकड़ा %s में,Hindi
translate to Hindi: Do they not see that they are tried every year once or twice but then they do not repent nor do they remember?,क्या वह लोग (इतना भी) नहीं देखते कि हर साल एक मरतबा या दो मरतबा बला में मुबितला किए जाते हैं फिर भी न तो ये लोग तौबा ही करते हैं और न नसीहत ही मानते हैं,Hindi
"translate to Hindi: Okay, switch to mobile.","ठीक है, मोबाइल को स्विच.",Hindi
translate to Hindi: We made them the leaders of those who call to Hell; and on the Day of Judgement they will not be helped.,और हमने उन्हें आग की ओर बुलानेवाले पेशवा बना दिया और क़ियामत के दिन उन्हें कोई सहायता प्राप्त न होगी,Hindi
"translate to Hindi: Until when they come to it, their ears and their sights and their skins will bear witness against them of that which they had been working.",यहाँ तक की जब सब के सब जहन्नुम के पास जाएँगे तो उनके कान और उनकी ऑंखें और उनके (गोश्त पोस्त) उनके ख़िलाफ उनके मुक़ाबले में उनकी कारस्तानियों की गवाही देगें,Hindi
"translate to Hindi: Say: ""O People of the Book! Why reject ye the Signs of Allah, when Allah is Himself witness to all ye do?""","कहो, ""ऐ किताबवालों! तुम अल्लाह की आयतों का इनकार क्यों करते हो, जबकि जो कुछ तुम कर रहे हो, अल्लाह की दृष्टिअ में है?""",Hindi
"translate to Hindi: Do we have the go-ahead, sir?","हम श्रीमान, आगे जाना है?",Hindi
translate to Hindi: change color value (HSV),लक्ष्य रंग स्पेस: (T),Hindi
translate to Hindi: BRIAN:,ब्रायन:,Hindi
translate to Hindi: Delbert Grady.,डेलबर्ट ग्रेडी.,Hindi
translate to Hindi: - Who was in the shower?,- शॉवर में कौन था?,Hindi
translate to Hindi: Fermium,फर्मियम,Hindi
"translate to Hindi: It is only God, the Lord of the Universe, who deserves all praise.",और कुल तारीफ खुदा ही के लिए सज़ावार हैं जो सारे जहाँन का पालने वाला है,Hindi
translate to Hindi: My last relationship was back in college.,मेरे पिछले रिश्ते को वापस कॉलेज में था.,Hindi
translate to Hindi: ? - No.,- नहीं.,Hindi
translate to Hindi: I couldn't make out what he wanted to say.,मैं समझ नहीं पा रहा था कि वह कहना क्या चाहता था।,Hindi
translate to Hindi: _Restart Evolution after backup,बैकअप के बाद एवोल्यूशन फिर शुरू करें (_R),Hindi
translate to Hindi: Bookmark Editor,यह फ़ॉन्ट वेब पृष्ठ में सामान्य पाठ प्रदर्शन के लिए उपयोग में आएगा.,Hindi
"translate to Hindi: -Yes, ma'am.","हां, मैडम.",Hindi
translate to Hindi: _Next Page,अगला पृष्ठ (_N),Hindi
translate to Hindi: Thank you to my lovely secretary who's been working so hard.,मेरे सुंदर सचिव को धन्यवाद जो इतनी मेहनत से काम कर रहा है.,Hindi
translate to Hindi: Join as Spectator,दर्शक के रूप में शामिल हों,Hindi
translate to Hindi: Eighty five!,पचासी!,Hindi
translate to Hindi: Indeed we hope our Lord will forgive us our offences for being the first to believe.’,"हमें तो इसी की लालसा है कि हमारा रब हमारी ख़ताओं को क्षमा कर दें, क्योंकि हम सबसे पहले ईमान लाए।""",Hindi
"translate to Hindi: Lo! He reflected, and determined --",उसने सोचा और अटकल से एक बात बनाई,Hindi
"translate to Hindi: We can take care of Prakash later, first her!","प्रकाश का काम बाद में,पहले इसका!",Hindi
translate to Hindi: Set here the height selection for cropping.,यहाँ पर प्रभाव स्तर सेट करें.,Hindi
translate to Hindi: Replace _All,सभी बदलें (_A),Hindi
translate to Hindi: Camera Title,कैमरा शीर्षक,Hindi
"translate to Hindi: (Then) he said: 'Let her throne be disguised, so that we can see whether she is guided or if she is among those who are not guided'",(उसके बाद) सुलेमान ने कहा कि उसके तख्त में (उसकी अक्ल के इम्तिहान के लिए) तग़य्युर तबददुल कर दो ताकि हम देखें कि फिर भी वह समझ रखती है या उन लोगों में है जो कुछ समझ नहीं रखते,Hindi
translate to Hindi: - Where's your dad?,- तुम्हारे पिताजी कहाँ है?,Hindi
"translate to Hindi: Nay, the hour is their promised time, and the hour shall be most grievous and bitter.",बात ये है कि इनके वायदे का वक्त क़यामत है और क़यामत बड़ी सख्त और बड़ी तल्ख़ (चीज़) है,Hindi
"translate to Hindi: If anyone changes the bequest after hearing it, the guilt shall be on those who make the change. For Allah hears and knows (All things).",फिर जो सुन चुका उसके बाद उसे कुछ का कुछ कर दे तो उस का गुनाह उन्हीं लोगों की गरदन पर है जो उसे बदल डालें बेशक ख़ुदा सब कुछ जानता और सुनता है,Hindi
translate to Hindi: I send teknisiku own.,मैं teknisiku ही भेजें.,Hindi
translate to Hindi: Username,उपयोक्तानाम,Hindi
"translate to Hindi: Tell the believers to forgive those who do not fear the visitations of God, so that He may requite the people for their deeds.","जो लोग ईमान लाए उनसे कह दो कि, ""वे उन लोगों को क्षमा करें (उनकी करतूतों पर ध्यान न दे) अल्लाह के दिनों की आशा नहीं रखते, ताकि वह इसके परिणामस्वरूप उन लोगों को उनकी अपनी कमाई का बदला दे",Hindi
"translate to Hindi: - Wait, what did you just say?",तुम एलन roofies बेच दिया.,Hindi
"translate to Hindi: He said: ""Do they listen to you when ye call (on them)?""","उसने कहा, ""क्या ये तुम्हारी सुनते है, जब तुम पुकारते हो,",Hindi
"translate to Hindi: And we (angels) descend not except by the Command of your Lord (O Muhammad SAW). To Him belongs what is before us and what is behind us, and what is between those two, and your Lord is never forgetful,",और (ऐ रसूल) हम लोग फ़रिश्ते आप के परवरदिगार के हुक्म के बग़ैर (दुनिया में) नहीं नाज़िल होते जो कुछ हमारे सामने है और जो कुछ हमारे पीठ पीछे है और जो कुछ उनके दरमियान में है (ग़रज़ सबकुछ) उसी का है,Hindi
translate to Hindi: Player is Virtual,खिलाड़ी आभासी है,Hindi
translate to Hindi: Rows:,पंक्तियाँ:,Hindi
translate to Hindi: Submit a bug report using Bug Buddy,बग बडी के प्रयोग से दोष रपट दर्ज करें,Hindi
"translate to Hindi: As for man, whenever his Lord tries him and then is gracious and provides good things for him, he says: ""My Lord has been gracious to me.""","किन्तु मनुष्य का हाल यह है कि जब उसका रब इस प्रकार उसकी परीक्षा करता है कि उसे प्रतिष्ठा और नेमत प्रदान करता है, तो वह कहता है, ""मेरे रब ने मुझे प्रतिष्ठित किया।""",Hindi
"translate to Hindi: The requested operation required the deleting of the original file, most likely at the end of a file move operation. The original file %1 could not be deleted.","निवेदित ऑपरेशन मूल फ़ाइल को मिटाना चाहता है, बहुत संभव है फ़ाइल खिसकाने के अंत में. मूल फ़ाइल% 1 मिटाया नहीं जा सका.",Hindi
"translate to Hindi: Yeah, that was an easy piece of time, let me tell you?","हाँ, वो आसान था, मैं तुम्हें बता दूँ.",Hindi
translate to Hindi: - You collect them?,- तुम्हें इनका शौक है?,Hindi
translate to Hindi: Folsom,"फोल्समCity name (optional, probably does not need a translation)",Hindi
"translate to Hindi: It was said to her: Enter the palace; but when she saw it she deemed it to be a great expanse of water, and bared her legs. He said: Surely it is a palace made smooth with glass. She said: My Lord! surely I have been unjust to myself, and I submit with Sulaiman to Allah, the Lord of the worlds.","उससे कहा गया कि ""महल में प्रवेश करो।"" तो जब उसने उसे देखा तो उसने उसको गहरा पानी समझा और उसने अपनी दोनों पिंडलियाँ खोल दी। उसने कहा, ""यह तो शीशे से निर्मित महल है।"" बोली, ""ऐ मेरे रब! निश्चय ही मैंने अपने आपपर ज़ुल्म किया। अब मैंने सुलैमान के साथ अपने आपको अल्लाह के समर्पित कर दिया, जो सारे संसार का रब है।""",Hindi
"translate to Hindi: Then formed into an embryo? Then He fashioned, shaped and proportioned",फिर लोथड़ा हुआ फिर ख़ुदा ने उसे बनाया,Hindi
translate to Hindi: It...,यह...,Hindi
translate to Hindi: Keep & Zoom Setting,ज़ूम विन्यास रखे रहें (Z),Hindi
translate to Hindi: Checked,चेक बक्साTristate checkbox,Hindi
translate to Hindi: Quite literally the wages of sin.,मेरी सराहना के रूप में। बिलकुल अक्षरश:,Hindi
translate to Hindi: %1 to %2,% 1 (% 2),Hindi
"translate to Hindi: by the strikers of sparks [with their hoofs],",जो नथनों से फ़रराटे लेते हैं,Hindi
translate to Hindi: Just stop it and get lost!,बस करो और दफा हो जाओ!,Hindi
translate to Hindi: And draw not near to the property of the orphan except in a goodly way till he attains his maturity and fulfill the promise; surely (every) promise shall be questioned about.,"और अनाथ के माल को हाथ में लगाओ सिवाय उत्तम रीति के, यहाँ तक कि वह अपनी युवा अवस्था को पहुँच जाए, और प्रतिज्ञा पूरी करो। प्रतिज्ञा के विषय में अवश्य पूछा जाएगा",Hindi
"translate to Hindi: The day We shall strike with the most terrible striking, We will indeed take vengeance [on them].",हम बेशक (उनसे) पूरा बदला तो बस उस दिन लेगें जिस दिन सख्त पकड़ पकड़ेंगे,Hindi
translate to Hindi: Let's see what you can do.,चलो आप क्या कर सकते हैं देखते हैं।,Hindi
"translate to Hindi: They have taken their oaths as a covering, then they have barred from the way of God. Surely they -- evil are the things they have been doing.","उन्होंने अपनी क़समों को ढाल बना रखा है, इस प्रकार वे अल्लाह के मार्ग से रोकते है। निश्चय ही बुरा है जो वे कर रहे है",Hindi
"translate to Hindi: And His only task when He intends a thing is to command it, “Be” – and it thereupon happens!","उसका मामला तो बस यह है कि जब वह किसी चीज़ (के पैदा करने) का इरादा करता है तो उससे कहता है, ""हो जा!"" और वह हो जाती है",Hindi
"translate to Hindi: He dies, we die.","वह मर जाता है, हम मर जाते हैं।",Hindi
