source,translated,language
"translate to Marathi: His favorite baseball team is the Giants, but he likes the Lions, too.","त्याची आवडती बेसबॉल टीम जायंट्स आहे, पण त्याला लायन्ससुद्धा आवडतात.",Marathi
translate to Marathi: Tom was right.,टॉम बरोबर होते.,Marathi
translate to Marathi: We talked about poetry and literature.,आम्ही काव्य व साहित्याबद्दल बोललो.,Marathi
translate to Marathi: Open %1 (%2),% 1 (% 2) उघडा,Marathi
translate to Marathi: A Message has been received,संदेश प्राप्त झाले आहेName,Marathi
translate to Marathi: General improvements,बग निर्धारण व सर्वसाधारण सुधारणा,Marathi
translate to Marathi: Rebuilding Nepomuk full text search index for new features done.,नविन गुणविशेष करीता Nepomuk पूर्णतया पाठ्य इन्डेक्सची पुन्हमांडणी करत आहे. @ info - notification message,Marathi
translate to Marathi: Samba Shares,साम्बा भागिदारीName,Marathi
translate to Marathi: Turn the key to the right.,चावी उजवीकडे फिरव.,Marathi
translate to Marathi: Edit Key Binding List,किं बांधणी यादी संपादीत करा,Marathi
translate to Marathi: This is a triangle.,हा त्रिकोण आहे.,Marathi
translate to Marathi: The key to a situation often is in the neighbor's door.,एखाद्या परिस्थितीची चावी शक्यतः शेजारीच्या दरवाज्यात असते.,Marathi
translate to Marathi: The certificate is not signed by any trusted certificate authority,SSL error,Marathi
translate to Marathi: The book is here.,पुस्तक इथे आहे.,Marathi
translate to Marathi: Device selection timing,साधन निवडण्याची वेळ,Marathi
translate to Marathi: Doublets,दुहेरी,Marathi
translate to Marathi: Very Huge,प्रचंड अवाढव्य,Marathi
translate to Marathi: GID,GID,Marathi
translate to Marathi: Xiaoli is the tallest in our class.,शिआओली आमच्या वर्गात सर्वात उंच आहे.,Marathi
translate to Marathi: The screen is being locked,Interrupts the suspension/ shutdown process,Marathi
translate to Marathi: Close window?,चौकट बंद करा?,Marathi
translate to Marathi: Patrick Dubroy,Patrick Dubroy,Marathi
translate to Marathi: E_mpty Project,रिकामे प्रकल्प (_m),Marathi
translate to Marathi: View Document Source,दस्ताऐवज स्त्रोत पहा (c),Marathi
translate to Marathi: Confirm Desktop Effects Change,डेस्कटॉप प्रभाव बदलावांची खात्री करा,Marathi
translate to Marathi: The British soldiers rested.,ब्रिटिश सैनिकांनी विश्रांती घेतली.,Marathi
translate to Marathi: Non interactive use: no message boxes,विना संवाद वापर: संदेश पेटी आढळले नाही,Marathi
translate to Marathi: We know you.,आम्हाला तू माहीत आहेस.,Marathi
translate to Marathi: She wants vengeance.,तिला बदला हवाय.,Marathi
translate to Marathi: The candle went out of itself.,मेणबत्ती आपोआप विझून गेली.,Marathi
translate to Marathi: mine-help.txt,खाण-मदत.txt,Marathi
translate to Marathi: Transfer completed,स्थानांतरन पूर्ण झाले,Marathi
translate to Marathi: I'm going to put a curse on you.,मी तुझ्यावर शाप घालणार आहे.,Marathi
"translate to Marathi: According to the Oxford English Dictionary, the word 'set' has 430 different meanings or senses.",ऑक्सफोर्ड इंग्लिश डिक्शनरीच्या प्रमाणे 'set' या शब्दाचे ४३० अर्थ किंवा समज आहेत.,Marathi
translate to Marathi: This color scheme uses a transparent background which does not appear to be supported on your desktop,हे रंग सुत्रयोजना पारदर्शक पार्श्वभूमीचा वापर करते जे डेस्कटॉपवर समर्थीत नाही,Marathi
translate to Marathi: Tom saved her from the fire.,टॉमने तिला आगीपासून वाचवलं.,Marathi
translate to Marathi: She is a student.,ती एक विद्यार्थी आहे.,Marathi
translate to Marathi: Go to the KDE themes website,KDE सुत्रयोजना संकेतस्थळावर जा,Marathi
translate to Marathi: Desktop Cylinder,डेस्कटॉप क्यूब,Marathi
translate to Marathi: Call Stack,कॉल स्टॅक,Marathi
translate to Marathi: 'ai_family 'not supported,'ai_ family' समर्थीत नाही,Marathi
translate to Marathi: Bookmark Deletion,ओळखचिन्ह नष्ट करणे,Marathi
translate to Marathi: Prices are going up.,किंमती वाढतायत.,Marathi
translate to Marathi: Accessed From,पासून प्रवेश प्राप्त केले,Marathi
translate to Marathi: I'll be sixteen in September.,मी सप्टेंबरपर्यंत सोळा वर्षांची होईन.,Marathi
"translate to Marathi: Stories like Cinderella can be found in China, Japan and in every land of the world.","सिंड्रेलासारख्या गोष्टी चीन, जपान व जगातल्या प्रत्येक प्रदेशात सापडून येतात.",Marathi
translate to Marathi: Folders: %1,संचयीका:% 1@ title: group,Marathi
translate to Marathi: I slept nine hours.,मी नऊ तास झोपलो.,Marathi
"translate to Marathi: Developer (framework, parts, JavaScript, I/ O library) and maintainer","डेव्हलपर (फ्रेमवर्क, पार्टस्, JavaScript, I/ O लायब्ररी) व पालक",Marathi
"translate to Marathi: The text in this textbox will be used to format short dates. For instance, this is used when listing files. The sequences below will be replaced:","या पाठ्यपेटीतील पाठ्यचा वापर लांब दिनांक प्रारूप करीता केला जाईल. उदाहरणतया, याचा वापर फाइल यादी दर्शविण्याकरीता केला जातो. खालिल क्रम बदलविली जाईल:",Marathi
translate to Marathi: http: / /www. kde-apps. org/ content/ search. php? search=Searchname=\\\\{@},http: // www. kde- apps. org/ content/ search. php? search=Searchname=\\\\ {@} Name,Marathi
translate to Marathi: She might come.,ती येऊ शकेल.,Marathi
translate to Marathi: You do not have permission to delete that scheme,सुत्रयोजना काढूण टाकण्याकरीता तुमच्याकडे परवानगी नाही,Marathi
translate to Marathi: Trash,कचरापेटी@ title: group General settings,Marathi
translate to Marathi: Start searching,@ action: button,Marathi
translate to Marathi: Helge Deller,हेल्ग डेलर,Marathi
translate to Marathi: Telugu,तेलुगुName,Marathi
translate to Marathi: Hidden,Item is always visible in the systray,Marathi
translate to Marathi: Don't you want to win?,तुम्हाला जिंकायचं नाहीये का?,Marathi
translate to Marathi: Tom can go wherever he likes.,टॉमला हवं असेल तिथे तो जाऊ शकतो.,Marathi
translate to Marathi: The spikes were poisoned! The poison was deadly... --More--,"अणकुचीदार टोके (खिळे) विषारी होती, विष जहरी होते --- अधिक--",Marathi
translate to Marathi: He grows vegetables in his garden.,तो त्याच्या बागेत भाज्या उगवतो.,Marathi
translate to Marathi: Mathematical Alphanumeric Symbols,गणिती अक्षर अंक चिन्हे,Marathi
translate to Marathi: Converting Nepomuk data to a new backend. This might take a while.,Nepomuk माहिती यांस नविन बॅकएन्ड करीता रूपांतरीत करतो. यांस जरा वेळ लागू शकतो. @ info - notification message,Marathi
translate to Marathi: Tom can't forget Mary.,टॉम मेरीला विसरू शकत नाही.,Marathi
translate to Marathi: The following packages will be REINSTALLED:,पुढील पॅकेजेस पुनर्संस्थापित करण्यात येतीलः,Marathi
translate to Marathi: Where did it come from?,कुठून आलं?,Marathi
translate to Marathi: She's divorced.,ती घटस्फोटित आहे.,Marathi
translate to Marathi: The baby cried all night.,बाळ रात्रभर रडत राहिलं.,Marathi
translate to Marathi: You're all mad.,तुम्ही सर्व वेडे आहात.,Marathi
"translate to Marathi: On entering her room, she began to read the letter.",खोलीत प्रवेश केल्यावर तिने ते पत्र वाचणे सुरू केले.,Marathi
translate to Marathi: right button,उजवी बटणa nonexistent value of mouse button,Marathi
translate to Marathi: F%1,F% 1,Marathi
"translate to Marathi: No such interpreter ""%1""","इंटरप्रीटर ""% 1"" आढळला नाही",Marathi
translate to Marathi: Do you really want to create a new project and discard the current one?,तुम्हाला नक्की नवीन प्रकल्प बनवायचे व वर्तमान वगळायचे?,Marathi
translate to Marathi: but %s is to be installed,पण %s संस्थापित करायचे आहे,Marathi
translate to Marathi: There is no login dialog window in themed mode.,सुत्रयोजना पद्धती अंतर्गत दाखलन संवाद चौकट आढळले नाही.,Marathi
translate to Marathi: Tiny,लहान,Marathi
translate to Marathi: Tom turned off the faucet.,टॉमने नळ बंद केला.,Marathi
translate to Marathi: I have to tell Tom something.,मला टॉमला काहीतरी सांगायचं आहे.,Marathi
translate to Marathi: Do you like baseball?,तुम्हाला बेसबॉल आवडतो का?,Marathi
translate to Marathi: Unable to launch KCardChooser,KCardChooser दाखल करण्यास अपयशी,Marathi
translate to Marathi: Nepomuk Removable Storage Service,Nepomuk संचयन सेवाComment,Marathi
translate to Marathi: Direct Connect Clone,डायरेक्ट कनेक्ट क्लोनName,Marathi
translate to Marathi: My girlfriend was crying.,माझी गर्लफ्रेंड रडत होती.,Marathi
translate to Marathi: The czar was the ruler of Russia.,त्सार हा रशियाचा शासक होता.,Marathi
"translate to Marathi: Assigns a higher priority to the selected service, moving it up in the list.","निवडलेल्या सेवा करीता जास्त प्राधान्यता देतो, यादीत वर हलवीत आहे.",Marathi
translate to Marathi: Align to Grid,ग्रीडशी स्थानांतरीत कराIcons on the desktop,Marathi
translate to Marathi: Invalid bug report: corrupted data,@ info,Marathi
translate to Marathi: I used to think it was my responsibility to help Tom.,मला वाटायचं की टॉमची मदत करणं ही माझी जबाबदारी आहे.,Marathi
translate to Marathi: GNOME Telnet,GNOME टेलनेटGenericName,Marathi
translate to Marathi: widgets that you were running,@ info/ rich crash situation example,Marathi
translate to Marathi: Unable to use any of the %1 Backends,A button on a Remote Control,Marathi
translate to Marathi: The radio was invented by Marconi.,मार्कोनीने रेडीओचा आविष्कार केला.,Marathi
translate to Marathi: RedHat,@ label: listbox KDE distribution method,Marathi
translate to Marathi: D-Bus Interface,DBus संवाद,Marathi
translate to Marathi: Tom is the tallest boy in our class.,टॉम आमच्या वर्गातला सर्वात उंच मुलगा आहे.,Marathi
translate to Marathi: She was brave.,त्या शूर होत्या.,Marathi
translate to Marathi: There was never this much snow before.,आधी इतका बर्फ कधीच नसायचा.,Marathi
translate to Marathi: The television doesn't work.,टीव्ही चालत नाही.,Marathi
translate to Marathi: Kazakhstani Tenge,कझाखस्तानName,Marathi
translate to Marathi: Tom needs to lose a bit of weight.,टॉमने थोडं वजन कमी करण्याची गरज आहे.,Marathi
translate to Marathi: URL(s) or local file(s) used for'command ','आदेश' करीता वापरलेले URL( s) किंवा स्थानीय फाइलNAME OF TRANSLATORS,Marathi
translate to Marathi: That's why I was absent from school yesterday.,महणून मी काल शाळेत गैरहजर होते.,Marathi
translate to Marathi: Come with us.,आमच्याबरोबर ये.,Marathi
translate to Marathi: Port Scanner,पोर्ट स्कैनरName,Marathi
translate to Marathi: Processor Information,प्रोसेसर माहितीName,Marathi
translate to Marathi: I can't move my legs.,मला माझे पाय हलवता येत नाहीयेत.,Marathi
translate to Marathi: Cordless MouseMan Optical (2ch),कॉर्डलेस् माऊसमॅन ऑपटिकल (2ch),Marathi
translate to Marathi: What sort of work do you do?,तू कसलं काम करतोस?,Marathi
translate to Marathi: Base Card: King,मुळ पत्ता: राजा,Marathi
translate to Marathi: Set Name...,नाव निश्चित करा...,Marathi
translate to Marathi: 24pt,24pt,Marathi
translate to Marathi: dict. cc Translation: English to German,dict. cc अनुवादः अंग्रेजी ते जर्मनName,Marathi
translate to Marathi: Take me there.,मला तिथे घेऊन चल.,Marathi
translate to Marathi: They say that he is the richest person in the world.,म्हणतात की तो जगातला सर्वात श्रीमंत व्यक्ती आहे.,Marathi
translate to Marathi: Multitran - Translate Between French and Russian,Query,Marathi
translate to Marathi: of Tequemt,बहमान चाof Tir short,Marathi
translate to Marathi: Tom died in prison ten years ago.,टॉम तुरुंगात दहा वर्षांपूर्वी मेला.,Marathi
translate to Marathi: sets the default button color,मुलभूत बटण रंग निश्चित करतो,Marathi
translate to Marathi: ^Forbid Version,फाॅरबीड आवृृत्ती,Marathi
translate to Marathi: I want to look rich.,मला श्रीमंत दिसायचं आहे.,Marathi
translate to Marathi: Help,मदत,Marathi
translate to Marathi: Not,Not,Marathi
translate to Marathi: Invalid Proxy Script,अवैध प्रॉक्सी लिपीComment,Marathi
translate to Marathi: & Remove Theme,सुत्रयोजना काढूण टाका (R),Marathi
translate to Marathi: Give the password.,पासवर्ड दे.,Marathi
translate to Marathi: Welcome to hell!,नरकात स्वागत आहे!,Marathi
translate to Marathi: Virtual desktop two is selected,दुसरे आभासी डेस्कटॉप निवडलेName,Marathi
translate to Marathi: UADescription (Netscape 7.1 on XP),UAडिस्क्रिप्शन (XP वरील नेटस्केप 7. 1) Name,Marathi
translate to Marathi: He took off his hat.,त्यांनी त्यांची टोपी काढली.,Marathi
translate to Marathi: Unexpected argument '%1 '.,अपरिचीत बाब '% 1'.,Marathi
translate to Marathi: Last Week,शेवटचा आठवडा@ title: group Date,Marathi
translate to Marathi: Xine,एक्साइनGenericName,Marathi
translate to Marathi: Server:,सर्वर:% 1,Marathi
translate to Marathi: She's two years younger than him.,ती त्याच्यापेक्षा दोन वर्षांनी लहान आहे.,Marathi
"translate to Marathi: Do you really want to deactivate ""%1"", ""%2"" and ""%3""?","तुम्हाला नक्की ""% 1"", ""% 2"" व ""% 3"" निष्क्रीय करायचे?",Marathi
translate to Marathi: Could not find an interactive shell to start.,प्रारंभ करण्याकरीता परस्पर संवाद शेल शोधू शकले.,Marathi
"translate to Marathi: Skipping %s, it is already installed and upgrade is not set.","%s सोडून देत आहे, ते आधिच संस्थापित केले आहे आणि पुढिल आवृत्ती निश्चित केलेली नाही.",Marathi
translate to Marathi: =,=,Marathi
translate to Marathi: Version table:,आवृत्ती कोष्टक:,Marathi
translate to Marathi: Lists currently playing music,वर्ताननुरूप चालविले जाणारी संगीत यादीName,Marathi
translate to Marathi: He helped me fix my watch.,त्याने मला माझं घड्याळ दुरुस्त करण्यामध्ये माझी मदत केली.,Marathi
translate to Marathi: Dominican Peso,डोमीनीकाName,Marathi
translate to Marathi: He peels his apple.,तो त्याचं सफरचंद सोलतो.,Marathi
translate to Marathi: Night is when most people sleep.,बहुतेक लोकं रात्री झोपतात.,Marathi
translate to Marathi: _Preferences...,प्राधान्यता (_P)...,Marathi
translate to Marathi: She defeated him.,तिने त्याला हरवलं.,Marathi
translate to Marathi: Artists are highly respected in France.,कलाकारांना फ्रांसमध्ये खूप मान दिला जातो.,Marathi
translate to Marathi: JavaScript,JavaScript (S),Marathi
translate to Marathi: Give me some more.,मला अजून थोडं द्या.,Marathi
translate to Marathi: _Copy Path to Clipboard,क्लिपबोर्डवर मार्गाचे प्रत बनवा (_C),Marathi
translate to Marathi: Reading extended state information,विस्तारित स्थिती माहिती वाचत आहे,Marathi
translate to Marathi: Random screen saver,कुठलेही स्क्रीन सेवर,Marathi
translate to Marathi: What he says is true.,तो जे म्हणतोय ते खरं आहे.,Marathi
translate to Marathi: http: / /en. wikipedia. org/ wiki/ Special: Search? search=\\\\{@}go=Go,http: // en. wikipedia. org/ wiki/ Special: Search? search=\\\\ {@} go=GoName,Marathi
translate to Marathi: Network Analyzer,संजाळ एनॉलाइजरName,Marathi
translate to Marathi: (c) 1997 - 2005 Mouse developers,(c) 1997 - 2005 Mouse developers,Marathi
translate to Marathi: Could not get download link.,तात्पूर्ती फाइल बनवू शकले नाही.,Marathi
"translate to Marathi: In late November, they attacked Finland.","नोव्हेंबरच्या उत्तरभागात, त्यांनी फिनलंडवर हल्ला केला.",Marathi
translate to Marathi: He turned to his friend for help.,तो मदतीस आपल्या मित्राकडे वळला.,Marathi
translate to Marathi: Tags,टॅग्स,Marathi
translate to Marathi: Normal,साधारणProcess Niceness,Marathi
translate to Marathi: I'm dying.,मी मरतेय.,Marathi
translate to Marathi: Bug Report Status: %1,@ info bug report label and value,Marathi
translate to Marathi: He went to the dentist.,तो दंतवैद्याकडे गेला.,Marathi
translate to Marathi: /_Properties,/गुणधर्म (_P),Marathi
translate to Marathi: Whoever wants to come will be welcomed.,ज्यांनाही यायचं असेल त्यांचा स्वागत केला जाईल.,Marathi
translate to Marathi: FIFO,Scheduler,Marathi
translate to Marathi: Tom disappointed me.,टॉमने मला निराश केलं.,Marathi
translate to Marathi: She went to the United States for the purpose of studying English literature.,ती इंग्रजी साहित्याचा अभ्यास करण्याच्या निमित्ताने युनायटेड स्टेट्सला गेली.,Marathi
translate to Marathi: Your theme has been successfully created in %1.,तुमची सुत्रयोजना यशस्वीरित्या% 1 अंतर्गत बनविले गेले आहे.,Marathi
translate to Marathi: unexpected SFTP error: %1,अनपेक्षीत SFTP त्रुटी:% 1,Marathi
translate to Marathi: Do you know how to drive?,तुम्हाला ड्राईव्हिंग येते का?,Marathi
"translate to Marathi: God, listen to me!","देवा, माझं ऐक!",Marathi
translate to Marathi: Tkyriak ē,Ethiopian month 1 - ShortNamePossessive,Marathi
translate to Marathi: Marry me.,माझ्याबरोबर लग्न करा.,Marathi
translate to Marathi: %s: Unable to write to stdout,%s: stdoutला लिहिणे अशक्य,Marathi
translate to Marathi: I had met him many times before then.,मी त्याला त्याआधी अनेकदा भेटलो होतो.,Marathi
translate to Marathi: Never read any book that is not a year old.,एक वर्षापेक्षा जुनं नसलेलं पुस्तक मी कधीच वाचलं नाहीये.,Marathi
translate to Marathi: What time is dinner?,जेवण किती वाजता आहे?,Marathi
translate to Marathi: We enjoyed playing chess last night.,आम्हाला काल रात्री बुद्धिबळ खेळताना खूप मजा आली.,Marathi
translate to Marathi: My name is Ichiro Tanaka.,माझं नाव इचिरो तानाका आहे.,Marathi
translate to Marathi: Are you thinking about Tom?,तू टॉमचा विचार करतोयस का?,Marathi
translate to Marathi: Genre:,रेखा: @ label,Marathi
translate to Marathi: & Configure JavaScript New Window Policies...,जावास्क्रिप्ट नविन चौकट करार संयोजीत करा (C)...,Marathi
translate to Marathi: I learned a lot about Tom.,मी टॉमबद्दल भरपूर काही शिकलो.,Marathi
translate to Marathi: (5) File Formats,(5) फाइल फार्मेट्सName,Marathi
translate to Marathi: She has more books.,तिच्याकडे अजून पुस्तकं आहेत.,Marathi
translate to Marathi: Lines,ओळी,Marathi
translate to Marathi: Regular Expression,रेग्यूलर एक्सप्रेशन,Marathi
translate to Marathi: Change Module...,विभाग बदलवा...,Marathi
translate to Marathi: DownloadSize,उतरवून घेण्याचा आकार (डाउनलोड आकार),Marathi
"translate to Marathi: The Comoros is called ""Comores"" in French.","कमोरोसला फ्रेंचमध्ये ""कोमोरे"" म्हणतात.",Marathi
translate to Marathi: PgDown,PgDownkeyboard- key- name,Marathi
translate to Marathi: Maximize (horizontal only),मोठे करा (फक्त आढवेरित्या),Marathi
translate to Marathi: Postscript Viewer,पोस्टस्क्रिप्ट प्रदर्शकName,Marathi
translate to Marathi: Duplicate Entry,हुबेहुब नोंदणी,Marathi
translate to Marathi: France is in western Europe.,फ्रांस पश्चिम युरोपात आहे.,Marathi
translate to Marathi: _Add,समावेश करा (_A),Marathi
translate to Marathi: Selection Text,पाठ्य निवड,Marathi
translate to Marathi: I bought a hat.,मी एक टोपी विकत घेतली.,Marathi
translate to Marathi: Add Tags,नविन टॅग... @ label: textbox,Marathi
"translate to Marathi: Shows the number of times visited and the dates of the first and last visits, in addition to the URL","भेट दिल्याचे प्रमाण दर्शवा आणि URL च्या व्यतिरीक्त, प्रथम व शेवटी भेट दिल्याचे दिनांक दर्शवा",Marathi
translate to Marathi: Openbox,ओपनबाक्सName,Marathi
translate to Marathi: Export loaded file and exit,दाखल झालेल्या फाइलचे स्वरूप बदला व बाहेर पडा,Marathi
translate to Marathi: Is this your pencil?,ही तुझी पेन्सिल आहे का?,Marathi
translate to Marathi: The file is too large to be trashed.,फाइल कचरापेटीकडे हलविण्याकरीता खूप मोठे आहे.,Marathi
translate to Marathi: client GLX extensions,क्लाऐंट GLX विस्तारण,Marathi
translate to Marathi: Julian,जॅन@ item Calendar system,Marathi
translate to Marathi: %s is missing; dropping %s,%s गायब आहे; %s सोडून देत आहे,Marathi
translate to Marathi: _Login,दाखलन (_ L) will login in...,Marathi
translate to Marathi: Are we just friends?,आपण फक्त मैत्रिणी आहोत का?,Marathi
translate to Marathi: I am in the habit of taking some exercise before breakfast.,मला नाश्त्याआधी थोडा व्यायाम करण्याची सवय आहे.,Marathi
translate to Marathi: Class:,वर्ग:,Marathi
translate to Marathi: Coffee or tea?,कॉफी की चहा?,Marathi
translate to Marathi: Currently visible navigator tab,वर्तमानक्षणी दृश्यास्पद संचारन टॅब,Marathi
translate to Marathi: Maximizing,वाढवित आहे,Marathi
translate to Marathi: TV,A button on a Remote Control,Marathi
"translate to Marathi: Space-separated list of extensions, e. g. *. txt *. od*","विस्तारणची मोकळी जागा- विभाजीत यादी, उ. दा. *. txt *. od *",Marathi
translate to Marathi: They're fighting.,त्या लढत आहेत.,Marathi
translate to Marathi: I saw Tom just this morning.,मी टॉमला आज सकाळीच पहिलं.,Marathi
translate to Marathi: Base font size:,मध्यम फॉन्ट आकार (M):,Marathi
translate to Marathi: & Source:,स्त्रोत (S):,Marathi
translate to Marathi: Hide the money.,पैसे लपव.,Marathi
translate to Marathi: You tried.,तुम्ही प्रयत्न केला.,Marathi
translate to Marathi: Change the settings which affect how package dependencies are handled,पॅकेज डिपेंडन्सीज कसे हाताळावे यासाठी सेटींग (मांडणी) बदलता येतात.,Marathi
translate to Marathi: Enable all disabled fonts in the current group,वर्तमान समुह अंतर्गत सर्व अकार्यान्वीत फॉन्ट कार्यान्वीत करा,Marathi
translate to Marathi: Delete Fonts,फॉन्ट नष्ट करा,Marathi
translate to Marathi: Is the fish still alive?,तो मासा अजूनही जिवंत आहे का?,Marathi
translate to Marathi: terminal,टर्मिनल,Marathi
translate to Marathi: Pure virtual packages:,शुध्द आभासी पॅकेजेस्:,Marathi
translate to Marathi: Maximized & horizontally,आडवेरित्या वाढविले (h),Marathi
translate to Marathi: Upgrade,दर्जा उंचवा (पुढील सुधारित आवृत्ती),Marathi
translate to Marathi: You teach Arabic.,तुम्ही अरबी शिकवता.,Marathi
"translate to Marathi: According to many religions, adultery is a crime.","अनेक धर्मांच्या अनुसार, जारकर्म एक गुन्हा आहे.",Marathi
"translate to Marathi: How do you write ""Eyjafjallajökull""?","""एय्याफ्याल्लायोकुल्ल"" कसं लिहितात?",Marathi
translate to Marathi: Admin,वापरकर्ता (6),Marathi
"translate to Marathi: At school I had enjoyed reading Japanese literature in English translation, in particular Soseki's I am a Cat and Kokoro, and Akutagawa's The Nose and Kappa.","शाळेत मला इंग्रजीत भाषांतर केलेले जपानी साहित्य वाचण्यात मजा आलेली, खास करून सोसेकीची ""मी आहे मांजर"" व ""कोकोरो"", आणि आकुतागावाची ""नाक"" व ""काप्पा"".",Marathi
translate to Marathi: form,फॉर्म,Marathi
translate to Marathi: Tom is playing with his son.,टॉम त्याच्या मुलाबरोबर खेळतोय.,Marathi
translate to Marathi: Indic Scripts,कृती,Marathi
translate to Marathi: second,सेकंद,Marathi
translate to Marathi: Yes or no?,होय की नाही?,Marathi
translate to Marathi: There's a hole in this.,यात एक भोक आहे.,Marathi
translate to Marathi: Debugging Options,डिबगींग पर्याय,Marathi
translate to Marathi: Keep an eye on him.,त्याच्यावर लक्ष ठेव.,Marathi
translate to Marathi: Shepard remained in space only about 15 minutes.,शेपर्ड अवकाशात जवळजवळ फक्त १५ मिनिटांसाठी राहिला.,Marathi
translate to Marathi: table row header,तक्त्यामधील ओळीचे शिर्षक,Marathi
translate to Marathi: Tom must be from Boston.,टॉम बॉस्टनचा असेल.,Marathi
translate to Marathi: WordReference. com Translation: English to Spanish,WordReference. com अनुवादः अंग्रेजी ते स्पॅनीशQuery,Marathi
translate to Marathi: You may want to free some space on the disc and retry,तुम्हाला डिस्कवरील काहिक जागा मोकळी करावे लागेल व पुन्हा प्रयत्न करा,Marathi
translate to Marathi: Tom is stuck in the past.,टॉम भूतकाळात अडकला आहे.,Marathi
"translate to Marathi: And, many times, I've cried.","आणि, अनेक वेळा, मी रडलेय.",Marathi
translate to Marathi: Maria's hair is long.,मारिआचे केस लांब आहेत.,Marathi
translate to Marathi: Tom won't wait long.,टॉम जास्त वेळ थांबणार नाही.,Marathi
translate to Marathi: Time Remaining:,उर्वरीत वेळ:,Marathi
translate to Marathi: Actual Font,वास्तविक फॉन्ट@ item Font style,Marathi
translate to Marathi: China,चीनName,Marathi
translate to Marathi: Normal text,सर्वसाधारण पाठ्य,Marathi
translate to Marathi: Night (18:00 to 05:59),रात्र (18: 00 ते 05: 59),Marathi
translate to Marathi: Packets,पॅकेट@ item sensor description ('carrier' is a type of network signal),Marathi
translate to Marathi: Today is my friend's birthday.,आज माझ्या मित्राचा वाढदिवस आहे.,Marathi
translate to Marathi: Serbia,सेरबीयाName,Marathi
